name,price,location,link,Description,Property Address,Estate Name,Property Size,Condition,Furnishing,Attribute_1,Attribute_2,Attribute_3,Subtype,Agency Fee,Legal and Agreement Fee,Caution Fee,Total Fee,Service Charge Fee,Service Charge Covers,Pets,New Property,Total Rooms,Parking Space,Broker Fee,Facilities,Listing by,Furnished
"2bdrm Bungalow in Good Home Estate, Ado / Ajah for rent", 900000,"Ajah, Ado / Ajah",https://jiji.ng/ado-ajah/houses-apartments-for-rent/2bdrm-bungalow-in-good-home-estate-ado-ajah-for-rent-8ah2GIDcqMIkn2wahdbnYCVS.html?page=1&pos=1&cur_pos=1&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=0,"Standard Self Serviced 2Bed Flat En-suite with 2 Toilets, in a secured Estate 
Location: Good Home Estate",Good Home Estate,Good Home Estate,500sqm,Fairly Used,Semi-Furnished,Bungalow,2 bedrooms,2 bathrooms,,,,,,,,,,,,,,,
"3bdrm Townhouse / Terrace in Ikota Villa, Lekki Expressway for rent", 3000000,"Lekki, Lekki Expressway",https://jiji.ng/lekki-expressway/houses-apartments-for-rent/3bdrm-townhouse-terrace-in-ikota-villa-lekki-expressway-for-rent-6DpLsCz4F0BA8EH5nXPLJN3t.html?page=1&pos=4&cur_pos=4&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=3,"3 bed duplex terrace with BQ, all rooms ensut ,with extra room,
Rent. 3m
Agent. 300k
Legal. 300k
Caution. 150k","3 bed terrace with BQ and extra room, all ensat IKOTA villa",IKOTA VILLA,300sqm,Renovated,Semi-Furnished,Townhouse / Terrace,3 bedrooms,3 bathrooms,Detached,300000,300000,150000,750000,,,,,,,,,,
Mini Flat in Gbagada for rent, 1600000,Gbagada,https://jiji.ng/gbagada/houses-apartments-for-rent/mini-flat-in-gbagada-for-rent-A0wRCMKb0BR0kVRwAdQADOBg.html?page=1&pos=7&cur_pos=7&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=6,"F E A T U R E S
- Security 
- Inverter 
- CCTV
- Water heater 
- Heat extractor 
- Pop
- Modern finishing and fittings",Pedro Gbagada Lagos,,110sqm,Newly-Built,Semi-Furnished,Mini Flat,1 bedroom,1 bathroom,,,,,,200000,"Waste removal, compound cleaning, security, etc.",,,,,,,,
"4bdrm Townhouse / Terrace in Orchid Road, Chevron for rent", 3700000,"Lekki, Chevron",https://jiji.ng/chevron/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-orchid-road-chevron-for-rent-Bd0u525SAp25Yn5dTnLLK05N.html?page=1&pos=10&cur_pos=10&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=9,"For rent 
newly built serviced 
4-bedroom terrace duplex 
location: orchid road
rent :
agency: 10%
legal : 10% 
caution 10% 
service charge (monthly)",Orchid road,Orchid road,300sqm,Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,4 bathrooms,Semi-Detached,,,,,,,,,,,,,,
"2bdrm Block of Flats in Isheri North Gra, Berger for rent", 1300000,"Ojodu, Berger",https://jiji.ng/berger/houses-apartments-for-rent/2bdrm-block-of-flats-in-isheri-north-gra-berger-for-rent-34IWeodz6XoDgSRj8t6GE4lN.html?page=1&pos=13&cur_pos=13&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=12,House is newly built and tastefully finished with modern fittings...,Road 10,Isheri North GRA,400sqm,Newly-Built,Semi-Furnished,Block of Flats,2 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
4bdrm Duplex in Magodo Phase 2 for rent, 8000000,"Magodo, GRA Phase 2 Shangisha",https://jiji.ng/gra-phase-2/houses-apartments-for-rent/4bdrm-duplex-in-magodo-phase-2-for-rent-8oB8SfhvYjy3lyFpbWAIeOfR.html?page=1&pos=16&cur_pos=16&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=15,"*To Let Magodo Ph2*
*A very spacious 4 bedroom semi detached duplex all rooms ensuite + bq @ Magodo Ph2*
*Rent: N8m*",Magodo Phase 2,Magodo Phase 2,600sqm,Renovated,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,,,
"2bdrm Apartment in Sunshine Estate, Ajah for rent", 1600000,Ajah,https://jiji.ng/ajah/houses-apartments-for-rent/2bdrm-apartment-in-sunshine-estate-ajah-for-rent-ARgi3EKhsG1SiMbmCh14iUus.html?page=1&pos=19&cur_pos=19&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=18,"Well finished and spacious 2bedroom flat on Top floor with pop finishing and kitchen cabinet with wardrobe
*Location* behind Blenco supermarket Ogidan Sangotedo Lekki Lagos 
*Rent* 1.6m
*Agent* 160k
*Agreement* 160k
*Refundable Cautions* 100k
*Total package* N2,020,000",Blenco SANGOTEDO,Sunshine estate,600sqm,Newly-Built,Semi-Furnished,Apartment,2 bedrooms,2 bathrooms,,,,,,,,,,,,,,,
"3bdrm Apartment in Mobil, Oke-Ira / Ogba for rent", 1600000,"Ogba, Oke-Ira / Ogba",https://jiji.ng/ogba-oke-ira/houses-apartments-for-rent/3bdrm-apartment-in-mobil-oke-ira-ogba-for-rent-6acVXJs7kBDjEb5dfc8lYAAS.html?page=1&pos=22&cur_pos=22&ads_per_page=22&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=21,House is well built and tastefully finished with modern facilities in a decent and gated close...,Off Ola,Mobil,620sqm,Fairly Used,Semi-Furnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
4bdrm Duplex in Agungi for rent, 5500000,"Lekki, Agungi",https://jiji.ng/agungi/houses-apartments-for-rent/4bdrm-duplex-in-agungi-for-rent-wIMGG09fcZJj6SNBstNAoMFN.html?page=2&pos=5&cur_pos=5&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=26,"*newly renovated luxury 4bedroom semi-detached duplex for rent*
amenities: 
- [ ] fitted kitchen with accessories 
- [ ] modern day pop ceiling 
- [ ] detailed finishing 
- [ ] wardrobes 
- [ ] water heater
- [ ] heat extractor 
- [ ] bq
- [ ] newly installed borehole
- [ ] topnotch water treatment plant
location: agungi estate 
 *rent: n5.5m per annum*
agency: 10%
legal: 10%
caution: 5%",4 bed duplex semi detached at AGUNGI-LEKKI,AGUNGI,400sqm,Renovated,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,10,10,5,25,,,,,,,,,,
5bdrm Duplex in Lekki Phase 1 for rent, 14000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/5bdrm-duplex-in-lekki-phase-1-for-rent-cvie9lV4iX3QqdqrBzh6yyvK.html?page=2&pos=8&cur_pos=8&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=29,"TO LET/LEKKI PHASE 1
Stand alone 5bedroom duplex with a Bq
Rent:14M
If you are paying for 2years it will be 13M per annum.
Agent and Legal:10% each
Caution:1M.
Ref Daniel080XXXXXXXX",Lekki lagos nigeria,Lekki phase 1,1000sqm,Fairly Used,Unfurnished,Duplex,5 bedrooms,6 bathrooms,,,,,,,,,,,,,,,
"1bdrm Apartment in Budland, Ojodu for rent", 650000,Ojodu,https://jiji.ng/ojodu/houses-apartments-for-rent/1bdrm-apartment-in-budland-ojodu-for-rent-rCgpNSq5QGlirrDqY1fksWIg.html?page=2&pos=11&cur_pos=11&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=32,House is well built and tastefully finished with modern facilities...,Oppste Omole estate,Budland,620sqm,Newly-Built,Semi-Furnished,Apartment,1 bedroom,1 bathroom,,,,,,,,,,,,,,,
"Furnished 4bdrm Duplex in Gowon Estate, Egbeda for rent", 2500000,"Alimosho, Egbeda / Alimosho",https://jiji.ng/egbeda-alimosho/houses-apartments-for-rent/furnished-4bdrm-duplex-in-gowon-estate-egbeda-for-rent-yX7607s549DIObdPasouSlKQ.html?page=2&pos=14&cur_pos=14&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=35,"4 bedroom Duplex available in Gowon estate, Egbeda. Price :- #2.5 per annum.",Egbeda,GOWON ESTATE,600sqm,Fairly Used,Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,,,
3bdrm Apartment in Kilo for rent, 3500000,"Surulere, Kilo",https://jiji.ng/kilo/houses-apartments-for-rent/3bdrm-apartment-in-kilo-for-rent-kttqjQ4juL6zfoYEVi0iLqsP.html?page=2&pos=17&cur_pos=17&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=38,"Brief Update
Talking to the s/mandate. A newly built standard and decent Apartments at kilo SURULERE LAGOS",Kilo,Kilo,300sqm,Newly-Built,Semi-Furnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
Furnished 4bdrm Townhouse / Terrace in Lekki for rent, 12000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-4bdrm-townhouse-terrace-in-lekki-for-rent-nCIXDJOpMitrPMlMmRDQYgi8.html?page=2&pos=20&cur_pos=20&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=41,"FOR RENT! 
Fully Furnished 4 Bedroom Terrace Duplex 
Location- Ikota, Lekki
Rent - N12million per annum 
Caution - 10%
Agency - 10% 
Legal - 10%
Property Features:
- [x] Self Serviced
- [x] Jacuzzi 
- [x] Wine Bar
- [x] Room ensuite
- [x] BQ
- [x] Spacious Living Room 
- [x] Walk-in Shower
- [x] Heat Extractor 
- [x] Wated Heater
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] Ample Parking Space 
- [x] Wardrobe 
- [x] Kitchen cabinet",Ikota,,500sqm,Newly-Built,Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,Semi-Detached,,,,,,,,,,,,,,
2bdrm Apartment in Lekki for rent, 4500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/2bdrm-apartment-in-lekki-for-rent-8opGpX0NwyOmtXU8yGw17Hvr.html?page=2&pos=23&cur_pos=23&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=44,"FOR RENT! 
Lovely 2 Bedroom Apartment
Location- Agungi, Lekki
Caution - 10%
Agency - 10% 
Legal - 10%
Property Features:
- [x] Serviced
- [x] 24hrs Security
- [x] 24hrs Power Supply
- [x] Room ensuite
- [x] Walk-in Shower
- [x] Heat Extractor 
- [x] Wated Heater
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] Ample Parking Space 
- [x] Wardrobe 
- [x] Kitchen cabinet",Agungi,,500sqm,Newly-Built,Semi-Furnished,Apartment,2 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
1bdrm Apartment in Lekki for rent, 2000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/1bdrm-apartment-in-lekki-for-rent-dCzt07H0dnZoc5GhSvDUKY7n.html?page=3&pos=3&cur_pos=3&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=47,"Mini flat now available in van-Daniel Estate off orchid road 2m
Agency: 10%
Caution: 10%
Legal: 10%
Service charge: 300k","Orchid, Lekki.",,500sqm,Newly-Built,Unfurnished,Apartment,1 bedroom,1 bathroom,,,,,,,,,,,,,,,
"5bdrm Duplex in Oral Estate, Lekki for rent", 5000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/5bdrm-duplex-in-oral-estate-lekki-for-rent-zaYinQzGB8vjwG8QDLZZkvR0.html?page=3&pos=6&cur_pos=6&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=50,Semi detached 4 bedroom apartment with bq,eleganza,oral estate,500sqm,Fairly Used,Semi-Furnished,Duplex,5 bedrooms,6 bathrooms,,500000,500000,500000,1500000,,,,,,,,,,
"3bdrm Block of Flats in Off Freedom Way, Lekki Phase 1 for rent", 5000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/3bdrm-block-of-flats-in-off-freedom-way-lekki-phase-1-for-rent-lcIBxgAnBHL2EOr5McDrKDMZ.html?page=3&pos=9&cur_pos=9&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=53,"4 units of large and spacious newly renovated 3 bedroom flat all ensuite for rent off Freedom way, Lekki Phase 1
(Can be used as shortlet/shared/office space)
Rent 5m
Service charge 1m
Power (inclusive of Diesel) 150k monthly. 
Agency 10%
Legal 10%
Caution 200k
Service charge covers:
● General maintenance 
● Cleaning of common areas 
● Security 
● Waste disposal 
●Generator maintenance 
● Treated water 
● Sewage disposal",Off freedom way,Off freedom way,600sqm,Renovated,Semi-Furnished,Block of Flats,3 bedrooms,3 bathrooms,,500000,500000,200000,1200000,1000000,"General maintenance, cleaning of common areas, security, waste disposal, generator maintenance, water treatment, sewage disposal.",,,,,,,,
"Furnished 2bdrm House in Imagbon, Agric for rent", 500000,"Ikorodu, Agric",https://jiji.ng/agric/houses-apartments-for-rent/furnished-2bdrm-house-in-imagbon-agric-for-rent-5jnUSp41jdtuzz4oNo3jlWZw.html?page=3&pos=12&cur_pos=12&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=56,From agric to igboolomu road drop at phychatric junction take vike to oluwatobi block,From agric take striate bus going to igboolomu road drop phy,Imagbon,120sqm,Newly-Built,Furnished,House,2 bedrooms,3 bathrooms,Semi-Detached,50000,1000000,50000,1100000,5000,2,,,,,,,,
"Furnished 2bdrm House in Charity Estate, Agric for rent", 500000,"Ikorodu, Agric",https://jiji.ng/agric/houses-apartments-for-rent/furnished-2bdrm-house-in-charity-estate-agric-for-rent-ypL0UpT8Uk1bgT61HBPedKbP.html?page=3&pos=15&cur_pos=15&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=59,From agric to igboolomu road drop at psychiatric junction walk in to charity Estate,igboolomu road phychatric junction,charity Estate,120sqm,Newly-Built,Furnished,House,2 bedrooms,2 bathrooms,,,,,,5000,2,,,,,,,,
"Furnished 3bdrm Apartment in Safu Estate, Ayobo for rent", 1000000,"Ipaja, Ayobo",https://jiji.ng/ayobo/houses-apartments-for-rent/furnished-3bdrm-apartment-in-safu-estate-ayobo-for-rent-phDpFufPgBcH4OFMSCyDpK0b.html?page=3&pos=19&cur_pos=19&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=63,"Sweet three bedroom flat all round pop all room ensuite with visitor toilet location safu estate along ishefun road Ayobo per annum 1,m. Strictly for working person and responsible clients... 
For further Enquiries and inspections, Kindly Call or Text Empire Homes... charges on inspection apply.",Camp David road,Safu Estate,620sqm,Newly-Built,Furnished,Apartment,3 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
"1bdrm Bungalow in Charity Estate, Agric for rent", 200000,"Ikorodu, Agric",https://jiji.ng/agric/houses-apartments-for-rent/1bdrm-bungalow-in-charity-estate-agric-for-rent-w5MIbw8HjxCC37Agix9m2edc.html?page=3&pos=21&cur_pos=21&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=65,From ageic straight bus going to igboolomu road drop at phychatric junction ask of charity estate street 5,Igboolomu road phychatric junction,Charity estate igboolomu road,120sqm,Newly-Built,Unfurnished,Bungalow,1 bedroom,1 bathroom,Semi-Detached,40000,80000,20000,140000,3000,2,,,,,,,,
2bdrm Apartment in Ikoyi for rent, 9000000,"Ikoyi, Old Ikoyi",https://jiji.ng/old-ikoyi/houses-apartments-for-rent/2bdrm-apartment-in-ikoyi-for-rent-yTkRBsRaFPkoYCT7KB4sAOLq.html?page=4&pos=1&cur_pos=1&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=68,"*to let*
lovely 2bedroom flat with modern fully fitted open plan kitcken is available for letting in ikoyi.
rent: net
sc:
agency: 10%
legal: 10%
caution: 10%
diesel deposit: 
jb",Ikoyi,Ikoyi,500sqm,Fairly Used,Semi-Furnished,Apartment,2 bedrooms,2 bathrooms,,,,,,,,,,,,,,,
4bdrm Duplex in GRA Phase 2 Shangisha for rent, 8000000,"Magodo, GRA Phase 2 Shangisha",https://jiji.ng/gra-phase-2/houses-apartments-for-rent/4bdrm-duplex-in-gra-phase-2-shangisha-for-rent-aMJih7NuN7T7Os7cJyxXTwfc.html?page=4&pos=4&cur_pos=4&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=71,"Magodo phase 2 gra property to let 
description: tastefully relatively new 4 bedroom detached duplex with in a serene environment magodo phase 2 gra 
= 
location: magodo phase 2 gra
= ≠= 
rent: 8m
ms",Magodo phase 2,,800sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,,,
"Furnished 5bdrm Duplex in Palace Rd,Estate, Victoria Island for rent", 20000000,Victoria Island,https://jiji.ng/victoria-island/houses-apartments-for-rent/furnished-5bdrm-duplex-in-palace-rd-estate-victoria-island-for-rent-uQTnF9QZ8FXZFnNZ7PPrLdGx.html?page=4&pos=7&cur_pos=7&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=74,"Newly buit five bedrooms duplex,fully pop,modern building,self compound,standard living,water heater,kitchen cabinets,generator,swimming pool,",Oniru,"Palace rd,estate",600sqm,Newly-Built,Furnished,Duplex,5 bedrooms,5 bathrooms,,,,,,,,,,,,,,,
Mini Flat in Ijesha for rent, 1200000,"Surulere, Ijesha",https://jiji.ng/ijesha/houses-apartments-for-rent/mini-flat-in-ijesha-for-rent-hk5qHwFQs7ROyk4Ph9ejW2md.html?page=4&pos=10&cur_pos=10&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=77,Mini flat In ijesha surulere for 1.2m,Ijesha surulere,Ijesha,300sqm,Newly-Built,Semi-Furnished,Mini Flat,1 bedroom,1 bathroom,,,,,,,,,,,,,,,
2bdrm Apartment in Magodo Phase 1 for rent, 1000000,Magodo,https://jiji.ng/magodo/houses-apartments-for-rent/2bdrm-apartment-in-magodo-phase-1-for-rent-tvfimT8lmUoXYBMS677ttjHL.html?page=4&pos=14&cur_pos=14&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=81,"A renovated/ well maintained 2 bedrooms apartment. It's a high grade and a high standard 2 bedrooms apartment. This apartment, are all rooms en-suite. It has water supply with a very beautiful 3d wall pappers. This 2 bedrooms, is specious, tastefully built and well structured. The exterior of the property it self, that's the compound, is very specious/ large. It can contain about 12 to 15 capacity of vehicles. This apartment, has front view entrance which is through the palour and back view exit which is through the kitchen. It's fened with gate. It has sepeerate prepaid metres.",Magodo phase 1 GRA,Magodo phase 1,750sqm,Renovated,Semi-Furnished,Apartment,2 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
4bdrm Duplex in Lekki Phase 1 for rent, 15000000,"Lekki, Lekki Phase 1",https://jiji.ng/lekki-phase/houses-apartments-for-rent/4bdrm-duplex-in-lekki-phase-1-for-rent-6q3X4Ep1HkNeunDuVWLuz0l9.html?page=4&pos=16&cur_pos=16&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=83,"Newly built 4bedroom terrace duplex + BQ
Location: Lekki phase 1 Oniru axis
Rent: 15m
ALC: 10% each",Lekki phase 1 oniru axis,,500sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,,,
4bdrm Duplex in Lekki for rent, 6000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-lekki-for-rent-pzn4ByEXFqFe0zTaAnhPjiVd.html?page=4&pos=19&cur_pos=19&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=86,"FOR RENT! 
Lovely 4 Bedroom Fully Detached Duplex
Location- Lekki County, Lekki
Rent - N6million per annum
Caution -N600,000
Agency - 10% 
Legal - 10%
Property Features: 
- [x] Room ensuite 
- [x] Visitors toilet 
- [x] Fitted Kitchen
- [x] Very Secured Estate 
- [x] 24hrs Security
- [x] Balcony
- [x] Ample Parking Space 
- [x] Wardrobe 
- [x] Kitchen cabinet",Lekki County,,500sqm,Newly-Built,Semi-Furnished,Duplex,4 bedrooms,4 bathrooms,,,,,,,,,,,,,,,
3bdrm Block of Flats in Victoria Island for rent, 15000000,Victoria Island,https://jiji.ng/victoria-island/houses-apartments-for-rent/3bdrm-block-of-flats-in-victoria-island-for-rent-zMoiPjE0a8tGZgC1GL1KsKva.html?page=4&pos=22&cur_pos=22&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=89,"Newly built Luxury 3 bedroom Apartment 
Location -  Victoria Island.
Rent - 15M
Sc - 1.5M
Agency - 10%
Legal - 10%
Refundable caution 5%",Victoria  Island,Victoria Island,2000sqm,Newly-Built,Unfurnished,Block of Flats,3 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
"Furnished 5bdrm Duplex in Elegant, Osapa london for rent", 9000000,"Lekki, Osapa london",https://jiji.ng/osapa-london/houses-apartments-for-rent/furnished-5bdrm-duplex-in-elegant-osapa-london-for-rent-8RFDoqzvvEo5gYed44FtjE0J.html?page=5&pos=2&cur_pos=2&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=92,"100% Fully furnished house for rent in osapa LONDON.
5bed fully detached duplex with bq
Solar panel, inverter batteries and water treatment plant
Rent: 10million
Legal:10%
Agency:10%
Caution: 10%
Video available on request
Serious person should reach us now",Osapa,Elegant,500sqm,Newly-Built,Furnished,Duplex,5 bedrooms,6 bathrooms,,,,,,,,,,,,,,,
"4bdrm Apartment in Vi, Victoria Island for rent", 10000000,Victoria Island,https://jiji.ng/victoria-island/houses-apartments-for-rent/4bdrm-apartment-in-vi-victoria-island-for-rent-shhXhoOHI7TgUYaQHpggsUdY.html?page=5&pos=5&cur_pos=5&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=95,Newly built 4 bedroom appointment at victoria island lagos,4 BEDROOM APARTMENT AT VI,Vi,300sqm,Newly-Built,Semi-Furnished,Apartment,4 bedrooms,4 bathrooms,,1000000,1000000,800000,2800000,1500000,,,,,,,,,
4bdrm Duplex in Ojodu for rent, 4000000,Ojodu,https://jiji.ng/ojodu/houses-apartments-for-rent/4bdrm-duplex-in-ojodu-for-rent-48vlcIPWUj1zHy6Cc1d9J2Cy.html?page=5&pos=8&cur_pos=8&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=98,"Very decent duplex for rent in a decent estate at Ojodu Berger, Lagos",Ojodu,,400sqm,Fairly Used,Semi-Furnished,Duplex,4 bedrooms,5 bathrooms,,,,,,,,,,,,,,,
3bdrm Penthouse in Ikoyi for rent, 16000000,Ikoyi,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/3bdrm-penthouse-in-ikoyi-for-rent-aJH0j7wEaub0cxhmjw9U3BRf.html?page=5&pos=11&cur_pos=11&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=101,"3 BEDROOM PENTHOUSE FOR RENT
Location: Ikoyi Lagos
Price:
Agency:10%
Legal 
Caution:
Service charge :
Diesel Deposit : 
Total package:
Features:.
All room ensuite.
 Fully fitted kitchen. 
Swimming pool
Elevator 
Gym
BQ
24hours Electricity 
24 hours security 
Open plan kitchen .
Service estate 
Contact070XXXXXXXX",Ikoyi,,800sqm,Newly-Built,Unfurnished,Penthouse,3 bedrooms,3 bathrooms,,,,,,,,,,,,,,,
4bdrm Duplex in Orchid Road Lekki for rent, 5500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-duplex-in-orchid-road-lekki-for-rent-2w6rbGoICQQWwg9DltPfq0gW.html?page=5&pos=14&cur_pos=14&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=104,"For rent:
brand new 4 bedroom semi-detached duplex with a bq available for rent
location: orchid, lekki
annual rent - n5.5m
caution deposit - n500,000
agency - 10%
legal - 10%
features:
- all rooms ensuite
- stamped concrete floor
- fitted kitchen
- pop ceiling
- water heater
- walk-in shower
- self serviced
- serene environment
- wardrobes
- bathtub
etc",Orchid road Lekki,Orchid road Lekki,250sqm,Newly-Built,Unfurnished,Duplex,4 bedrooms,5 bathrooms,,550000,550000,300000,1400000,,,,,,,,,,
"3bdrm Apartment in Penel Estate, Lekki Phase 2 For Rent", 3500000,"Lekki, Lekki Phase 2",https://jiji.ng/lekki-phase-2/houses-apartments-for-rent/3bdrm-apartment-in-penel-estate-lekki-phase-2-for-rent-cBXxgWGjyRZK01w15J3nz9B1.html?page=5&pos=17&cur_pos=17&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=107,"*TO LET* 
3 bedroom flat service appartment.
Location: *Alpha Beach Road, Lekki Lagos* .
 *Rent3.5m* 
Caution: 10%
Agency 10%
Legal 10%
Service charge  *& it covers* :
Security
Water treatment 
Water supply
Cleaning
LAWMA
General repairs on facilities 
Waste management
Fumigation 
Generating Power & diesel purchase/maintenance (24hrs Power Supply)",Alpha Beach Road,Penel Estate,1000sqm,Fairly Used,Semi-Furnished,Apartment,3 bedrooms,3 bathrooms,,10,10,10,,,"Service charge: n900k *& it covers* :
security
water treatment 
water supply
cleaning
lawma
general repairs on facilities 
waste management
fumigation 
generating power  & diesel purchase/maintenance (24hrs power supply)",,,,,,,,
"Furnished 4bdrm Townhouse / Terrace in Orchid, Lekki for rent", 7000000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/furnished-4bdrm-townhouse-terrace-in-orchid-lekki-for-rent-lwYT7s1mFUPP3RyoLfr3B7n.html?page=5&pos=19&cur_pos=19&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=109,"*to let*
 *in orchid road lekki*
*fully serviced luxury smart home 4bedroom terraced duplex in a serene estate adjacent orchid hotel, lekki
features:
- all rooms en-suite 
- bq
- pop ceiling 
- fitted kitchen 
- stamped floor
- jacuzzi
- 24hr security 
- 24/7 power
- water heater 
- cctv cameras
- bluetooth speakers
-. gym
*rent with furniture 7m
*service charge 600k
*agency 10%*
*legal 10%*
*caution 10%*
#jefola#","Orchid, Lekki",Orchid,300sqm,Fairly Used,Furnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,,,,,,,,,,,,,,,
"4bdrm Townhouse / Terrace in Orchid Road, Lekki for rent", 4500000,Lekki,https://jiji.ng/lekki/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-orchid-road-lekki-for-rent-92WcpdnloThVny2oz9LmPqSY.html?page=5&pos=22&cur_pos=22&ads_per_page=23&ads_count=15812&lid=FOXK95B7VIvKP0sP&indexPosition=112,"To let !! 4 bedroom terrace detached duplex for rent!!
location :  orchid, lekki lagos 
rent : n4.5m per annum 
other changes :
agency 10%
legal. 10%
caution: 10%
service charge: 50k ( monthly)",Orchid road,"Orchid road, Lekki",2000sqm,Newly-Built,Unfurnished,Townhouse / Terrace,4 bedrooms,5 bathrooms,Semi-Detached,450000,450000,450000,1350000,50000,50k monthly,,,,,,,,
